Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    42 | ....  ... ..  .. .... 470 | ....  ... ..  40 .... 1F8 | ....  ... ..  40 .... B43 | 2300 .. ... . |
|    43 | ....  ... ..  09 .... ... | 1B37 (G#4 B8) .. .... 218 | ....  ... ..  20 .... B53 | .... .. ... . |
|    44 | ....  ... ..  .. .... 398 | ....  ... ..  .. .... 238 | 9152 (C#7 D5) 12 .... B64 | 2000 .. ... . |
|    45 | 060F  F#2 9E  11 .... 3C0 | 159A (E-4 B4) .. .... 258 | 2454 (C#5 BD) 10 .... B74 | .... .. ... . |
|    46 | 0307 (F#1 92) 41 .... 3E8 | ....  ... ..  .. .... 278 | ....  ... ..  40 .... B84 | 2100 .. ... . |
|    47 | ....  ... ..  .. .... 410 | 122A (C#4 B1) 20 .... 298 | ....  ... ..  20 .... B94 | 2200 .. ... . |
|    48 | ....  ... ..  .. .... 438 | ....  ... ..  .. .... 2B8 | 9152 (C#7 D5) 12 .... BA5 | 2300 .. ... . |
|    49 | ....  ... ..  .. .... 460 | 183F (F#4 B6) 10 .... 2D9 | ....  ... ..  09 .... ... | 2400 .. ... . |
|    50 | ....  ... ..  .. .... 488 | 0E6A (A-3 AD) 20 .... 2F9 | 2454  ... ..  .. .... 8B5 | 2500 .. ... . |
|    51 | ....  ... ..  .. .... 4B0 | ....  ... ..  40 .... 319 | 2454  C#5 BD  41 .... 8C5 | 2600 .. ... . |
|    52 | ....  ... ..  .. .... 4D8 | 1B37 (G#4 B8) .. .... 339 | 9152 (C#7 D5) 12 .... 8D5 | 2700 .. ... . |
|    53 | ....  ... ..  .. .... 500 | ....  ... ..  .. .... 359 | 2454 (C#5 BD) 10 .... 8E5 | 2800 .. ... . |
|    54 | ....  ... ..  .. .... 528 | 159A (E-4 B4) .. .... 379 | ....  ... ..  40 .... 8F5 | .... .. ... . |
|    55 | ....  ... ..  .. .... 550 | ....  ... ..  .. .... 399 | 307E (F#5 C2) 20 .... 905 | .... .. ... . |
|    56 | ....  ... ..  .. .... 578 | 122A (C#4 B1) 20 .... 3B9 | C1FB (F#7 DA) 12 .... 916 | .... .. ... . |
|    57 | ....  ... ..  .. .... 5A0 | ....  ... ..  .. .... 3D9 | 307E (F#5 C2) 10 .... 926 | .... .. ... . |
|    58 | ....  ... ..  .. .... 5C8 | 183F (F#4 B6) 10 .... 3FA | ....  ... ..  40 .... 936 | .... .. ... . |
|    59 | ....  ... ..  .. .... 5F0 | 0E6A (A-3 AD) 20 .... 41A | ....  ... ..  20 .... 946 | .... .. ... . |
|    60 | ....  ... ..  .. .... 618 | ....  ... ..  40 .... 43A | C1FB (F#7 DA) 12 .... 957 | .... .. ... . |
|    61 | ....  ... ..  09 .... ... | 1B37 (G#4 B8) .. .... 45A | 2454 (C#5 BD) 10 .... 967 | .... .. ... . |
|    62 | 060F  ... ..  .. .... 340 | ....  ... ..  .. .... 47A | ....  ... ..  40 .... 977 | 2000 .. ... . |
|    63 | 0C1F  F#3 AA  11 .... 368 | 159A (E-4 B4) .. .... 49A | ....  ... ..  20 .... 987 | .... .. ... . |
|    64 | 060F (F#2 9E) 40 .... 390 | ....  ... ..  .. .... 4BA | 9152 (C#7 D5) 12 .... 998 | 2100 .. ... . |
|    65 | ....  ... ..  .. .... 3B8 | 122A (C#4 B1) 20 .... 4DA | 2454 (C#5 BD) 10 .... 9A8 | 2200 .. ... . |
